Metabolite,´úÐ»Îï,P_value,FDR,VIP_pred_OPLS-DA,VIP_PLS-DA,FC(KA/HA),Log2FC(KA/HA),Significant,Regulate,"KEGG Compound ID","KEGG Compound First Category","KEGG Compound Second Category","KEGG Pathway ID","KEGG Pathway Description","KEGG Pathway First Category","KEGG Pathway Second Category","Library ID","HMDB Superclass","HMDB Class","HMDB Subclass","CAS ID",M/Z,"Retention time",Adducts,Formula,"Fragmentation Score","Theoretical Fragmentation Score","Metab ID",ID,Mode,KA1,KA10,KA11,KA12,KA6,KA8,HA12,HA14,HA16,HA3,HA4,HA6,ka_mean,ka_SD,ha_mean,ha_SD
"Valganciclovir, (S)-",çÓ¸üÎôÂåÎ¤£¨S£©-,0.007347,0.07362,1.5385,1.3839,0.0366,-4.772,yes,down,-,-,-,-,-,-,-,HMDB0259748,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,372.201035798,3.68913333333,M+NH4,C14H22N6O5,0,46.8,metab_832,pos_1773,pos,2265,2254,52510,2154,2210,3277,360600,71990,378400,484200,121500,351300,,,,
Triethanolamine,ÈýÒÒ´¼°·,0.004941,0.0614,1.5329,1.4082,1.1713,0.2281,yes,up,C06771,-,-,map00564,"Glycerophospholipid metabolism",Metabolism,"Lipid metabolism",HMDB0032538,"Organic nitrogen compounds","Organonitrogen compounds",Amines,102-71-6,150.112312677,6.0081,M+H,C6H15NO3,81.9,0,metab_1181,pos_2088,pos,317600,317300,318700,330000,315700,324900,252100,280300,270400,275600,316800,247700,,,,
"Taurocholic Acid",Å£»Çµ¨Ëá,0.008828,0.08001,1.5324,1.4034,5.9523,2.5734,yes,up,C05122,Steroids,"24-Carbon atoms",map01100;map04979;map04976;map00120;map00430,"Metabolic pathways;Cholesterol metabolism;Bile secretion;Primary bile acid biosynthesis;Taurine and hypotaurine metabolism","Metabolism;Organismal Systems;Organismal Systems;Metabolism;Metabolism","Global and overview maps;Digestive system;Digestive system;Lipid metabolism;Metabolism of other amino acids",LMST05040001;PW_C000025;HMDB0000036;MJDBOTE0000483,"Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives",81-24-3,480.277021705,6.01676666667,M+H-2H2O,C26H45NO7S,82,0,metab_1188,pos_2095,pos,2398000,4927000,1755000,2162000,4272000,1567000,424600,326800,599500,621800,622200,274900,,,,
"PE(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",-,0.001721,0.02669,1.5287,1.4374,0.3778,-1.4043,yes,down,C00350,Lipids,Phospholipids,map01100;map00564;map00563;map04136;map05167;map04723;map04140,"Metabolic pathways;Glycerophospholipid metabolism;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Autophagy - other;Kaposi sarcoma-associated herpesvirus infection;Retrograde endocannabinoid signaling;Autophagy - animal","Metabolism;Metabolism;Metabolism;Cellular Processes;Human Diseases;Organismal Systems;Cellular Processes","Global and overview maps;Lipid metabolism;Glycan biosynthesis and metabolism;Transport and catabolism;Infectious disease: viral;Nervous system;Transport and catabolism",PW_C005093;HMDB0009045,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,788.52330999,7.49966666667,M-H,C45H76NO8P,0,65.7,metab_6916,neg_1515,neg,136300,199500,379300,118900,237700,421700,892700,369500,601500,563500,723300,802700,,,,
Mifepristone,Ã×·ÇË¾Íª,0.006571,0.06968,1.5271,1.3706,0.3552,-1.4933,yes,down,C07652,-,-,-,-,-,-,HMDB0014972;MJDBOTE0001512,"Lipids and lipid-like molecules","Steroids and steroid derivatives",Oxosteroids,84371-65-3,471.30001804,6.29546666667,M+ACN+H,C29H35NO2,0,38.5,metab_3969,pos_4934,pos,108400,204100,157200,236500,155900,229400,608700,320800,601500,795300,333700,412800,,,,
5-Hydroxyoctanoylcarnitine,"5 -ôÇ»ùÐÁõ£Èâ¼î",0.004563,0.06029,1.5229,1.6016,1.477,0.5627,yes,up,-,-,-,-,-,-,-,HMDB0241694,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",-,286.200613763,5.6322,M+H-H2O,C15H29NO5,0,47.8,metab_4697,pos_5629,pos,171900,185200,187900,138900,138600,216300,133000,115100,110500,102900,108200,133300,,,,
"(6R,8Z)-6-Hydroxy-3-oxotetradecenoic acid",£¨6R£¬8Z£©-6-ôÇ»ù-3-Ñõ´úÊ®ÁùÌ¼Ï©Ëá,0.005281,0.04572,1.5219,1.4196,0.429,-1.221,yes,down,-,-,-,-,-,-,-,HMDB0062363,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",-,255.159780671,6.20003333333,"M-H, M+Na-2H",C14H24O4,0,71.2,metab_7902,neg_243,neg,93790,84810,105100,63550,80270,117700,209200,234600,264000,135900,134100,293000,,,,
Lubiprostone,Â³±ÈÇ°ÁÐÍª,0.002711,0.0467,1.5206,1.3631,1.2052,0.2693,yes,up,C13707,-,-,-,-,-,-,HMDB0015180,"Lipids and lipid-like molecules","Fatty Acyls",Eicosanoids,333963-40-9;136790-76-6,391.229176393,6.03278333333,"M+H, M+Na",C20H32F2O5,0,42.3,metab_3553,pos_454,pos,2613000,2724000,2518000,2705000,2957000,2872000,2217000,2309000,2251000,2184000,2665000,1971000,,,,
Fibrin,ÏËÎ¬µ°°×,0.005585,0.06481,1.5191,1.3791,0.4727,-1.081,yes,down,C00290,-,-,map05171;map04371;map04610,"Coronavirus disease - COVID-19;Apelin signaling pathway;Complement and coagulation cascades","Human Diseases;Environmental Information Processing;Organismal Systems","Infectious disease: viral;Signal transduction;Immune system",HMDB0252249,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",9001-31-4,110.071444396,0.649766666667,M+H-2H2O,C5H11N3O2,0,46.1,metab_5534,pos_6415,pos,52030,56770,60390,38460,39080,54800,152500,65810,127200,106300,82440,103600,,,,
Niacinamide,ÑÌõ£°·,0.005245,0.06274,1.5189,1.4029,0.3639,-1.4584,yes,down,C00153,"Vitamins and cofactors",Vitamins,map01100;map00760;map04977;map01240,"Metabolic pathways;Nicotinate and nicotinamide metabolism;Vitamin digestion and absorption;Biosynthesis of cofactors","Metabolism;Metabolism;Organismal Systems;Metabolism","Global and overview maps;Metabolism of cofactors and vitamins;Digestive system;Global and overview maps",PW_C001086;HMDB0001406,"Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives",98-92-0,123.055299661,0.806533333333,M+H,C6H6N2O,71.2,0,metab_5283,pos_6171,pos,801200,933700,673400,1136000,767800,677300,2283000,1983000,1994000,1945000,1679000,3824000,,,,
"N-formimidoyl-glutamic acid",-,0.003355,0.05309,1.5178,1.3749,0.4725,-1.0816,yes,down,C00439,-,-,map01100;map00340,"Metabolic pathways;Histidine metabolism",Metabolism;Metabolism,"Global and overview maps;Amino acid metabolism",HMDB0255140;HMDB0000854,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",816-90-0,139.050017734,0.998466666667,M+H-2H2O,C6H10N2O4,0,43.4,metab_575,pos_1538,pos,273400,216300,365400,201900,167200,312800,598100,320100,458400,540100,575400,760800,,,,
"Eugenyl glucoside",¶¡×ÓÏã»ùÌÇÜÕ,0.005886,0.06603,1.5175,1.376,0.1251,-2.9988,yes,down,-,-,-,-,-,-,-,HMDB0302740,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",-,327.142234461,3.68111666667,"M+H-H2O, M+H, M+Na",C16H22O7,0,53.1,metab_6060,pos_75,pos,39670,29890,275600,5701,13700,77820,752600,205200,825400,797700,228900,727900,,,,
Venlafaxine,ÎÄÀ­·¨ÐÁ,0.002692,0.04655,1.5159,1.3404,1.1675,0.2234,yes,up,C07187,-,-,-,-,-,-,PW_C002364;HMDB0005016,Benzenoids,"Phenol ethers",Anisoles,93413-69-5,341.221613622,6.01676666667,M+ACN+Na,C17H27NO2,0,46.4,metab_1187,pos_2094,pos,412900,425100,387800,363200,433300,416100,332400,362000,350800,327500,389600,326600,,,,
LysoPE(P-18:1(9Z)/0:0),-,0.003621,0.03654,1.5128,1.4343,0.3892,-1.3614,yes,down,-,-,-,-,-,-,-,HMDB0240599,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,1425046-04-3,462.298752639,6.67931666667,M-H,C23H46NO6P,0,67.4,metab_7084,neg_1669,neg,783100,432400,1008000,697800,480500,634200,1451000,1387000,2259000,2569000,1380000,1321000,,,,
"Phaseoloside D",²Ë¶¹ÔíÜÕD,0.009896,0.08354,1.5116,1.4778,0.0377,-4.7293,yes,down,C08967,-,-,-,-,-,-,HMDB0303708;HMDB0039410,"Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides",30937-16-7,702.332048312,4.66291666667,M+H+Na,C65H104O31,0,59.3,metab_901,pos_1835,pos,42460,621.2,14910,593.6,609.2,85990,737100,527100,283300,1245000,823100,240500,,,,
"PG(18:1(11Z)/18:2(9Z,12Z))",-,0.008086,0.05705,1.5104,1.4072,0.0753,-3.7312,yes,down,C00344,Lipids,Phospholipids,map01100;map00564,"Metabolic pathways;Glycerophospholipid metabolism",Metabolism;Metabolism,"Global and overview maps;Lipid metabolism",PW_C006628;HMDB0010620,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoglycerols,-,793.5028643,7.42911666667,M+Na-2H,C42H77O10P,0,51,metab_6609,neg_1238,neg,490300,92800,868200,191000,190700,357900,8477000,2067000,4001000,4885000,2365000,7316000,,,,
"Ethyl beta-D-fructofuranoside","ÒÒ»ù¦Â - D -ß»à«¹ûÌÇÜÕ",0.003818,0.05576,1.508,1.3747,0.7426,-0.4293,yes,down,-,-,-,-,-,-,-,HMDB0303035,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",-,226.128109531,0.418266666667,M+NH4,C8H16O6,0,34.7,metab_5907,pos_6760,pos,1379000,1368000,1661000,1263000,1472000,1390000,2249000,1558000,1829000,2048000,1711000,2096000,,,,
DL-Glutamate,DL-¹È°±Ëá,0.004988,0.06141,1.5061,1.3618,0.5786,-0.7894,yes,down,C00302,-,-,map01100,"Metabolic pathways",Metabolism,"Global and overview maps",HMDB0060475,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,192.024046185,0.6731,"M+2Na-H, M+ACN+Na",C5H9NO4,0,30.9,metab_108,pos_1096,pos,190300,177500,195400,132000,133700,151500,395100,222700,279600,307900,215300,273800,,,,
2-Hydroxypyridine,2-ôÇ»ùßÁà¤,0.009357,0.08259,1.5053,1.356,0.1624,-2.6224,yes,down,C02502,-,-,-,-,-,-,HMDB0013751,"Organoheterocyclic compounds","Pyridines and derivatives",Hydropyridines,142-08-5,137.070811118,0.665266666667,M+ACN+H,C5H5NO,0,46.7,metab_5480,pos_6365,pos,48960,63550,104900,76870,58480,59690,686400,137200,559600,555300,233000,367800,,,,
"Alpha-Terpineol propanoate",-,0.006106,0.06672,1.5038,1.3326,1.2291,0.2976,yes,up,-,-,-,-,-,-,-,HMDB0032052,"Lipids and lipid-like molecules","Prenol lipids",Monoterpenoids,80-27-3,243.19512231,6.02478333333,M+CH3OH+H,C13H22O2,0,32.2,metab_1191,pos_2098,pos,112300,125100,112900,121200,124600,121400,103700,109800,91250,79150,111000,89000,,,,
P-Coumaraldehyde,"P -Ïã¶¹È©",0.001732,0.03994,1.503,1.4085,0.7249,-0.4641,yes,down,C05608,-,-,map01100,"Metabolic pathways",Metabolism,"Global and overview maps",HMDB0040986,"Phenylpropanoids and polyketides",Cinnamaldehydes,"Not Available",2538-87-6;20711-53-9,166.086049616,2.55261666667,"M+H-H2O, M+NH4",C9H8O2,0,46.6,metab_2340,pos_328,pos,19890000,24180000,17190000,19960000,19700000,21290000,33550000,25730000,25270000,26970000,25540000,31540000,,,,
Bisdethiobis(methylthio)gliotoxin,¶þÁò´úË«£¨¼×Áò»ù£©½ºÖÊ¶¾ËØ,0.003478,0.03623,1.5027,1.3987,1.1834,0.2429,yes,up,-,-,-,-,-,-,-,HMDB0249258,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,401.087307651,6.04741666667,M+FA-H,C15H20N2O4S2,0,81.2,metab_8983,neg_956,neg,274200,309100,255900,271900,314800,293500,235500,250600,242400,247700,256700,219700,,,,
Deoxyuridine,ÍÑÑõÄòÜÕ,0.003498,0.03623,1.4992,1.4068,1.6929,0.7595,yes,up,C00526,"Nucleic acids",Nucleosides,map00240;map01100;map02010,"Pyrimidine metabolism;Metabolic pathways;ABC transporters","Metabolism;Metabolism;Environmental Information Processing","Nucleotide metabolism;Global and overview maps;Membrane transport",HMDB0245528;HMDB0000012;PW_C000007;MJDBOTE0000510,"Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2''-deoxyribonucleosides",951-78-0,273.072436451,1.93113333333,"M-H, M+Cl, M+FA-H",C9H12N2O5,36.6,0,metab_8418,neg_43,neg,150700,161200,159600,163600,131400,125800,58600,127200,88750,76050,123200,53250,,,,
"N-Linoleoyl Histidine","N -ÑÇÓÍõ£×é°±Ëá",0.01174,0.08354,1.4966,1.3487,7.3558,2.8789,yes,up,-,-,-,-,-,-,-,HMDB0241977,"Not Available","Not Available","Not Available",-,462.266319498,6.15315,M+2Na-H,C24H39N3O3,0,60.7,metab_1290,pos_2196,pos,1154000,2550000,720400,1568000,2663000,757900,193200,156300,322300,219700,289300,98900,,,,
"Linoelaidic acid",·´ÑÇÓÍËá,0.002992,0.03481,1.4939,1.3741,0.6431,-0.6369,yes,down,C01595,Lipids,"Fatty acids",map01100;map00591;map01040,"Metabolic pathways;Linoleic acid metabolism;Biosynthesis of unsaturated fatty acids",Metabolism;Metabolism;Metabolism,"Global and overview maps;Lipid metabolism;Lipid metabolism",HMDB0247706;LMFA01030123;HMDB0000673;HMDB0006270,"Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives",506-21-8;60-33-3,559.472911319,7.25693333333,2M-H,C18H32O2,0,33,metab_6947,neg_1543,neg,203600,172500,296700,294100,182700,259400,449100,309800,415700,315600,315600,385100,,,,
5-Hydroxyindoleacetylglycine,"5 -ôÇ»ùßÅßáÒÒõ£¸Ê°±Ëá",0.005936,0.04845,1.4865,1.4081,0.3308,-1.596,yes,down,C05832,-,-,map00380,"Tryptophan metabolism",Metabolism,"Amino acid metabolism",HMDB0004185,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,293.077606942,3.61406666667,M+FA-H,C12H12N2O4,0,42.1,metab_8791,neg_781,neg,116400,168300,177100,71700,111300,204000,451500,243300,425100,458800,288700,699100,,,,
N(6)-Methyllysine,N£¨6£©-¼×»ùÀµ°±Ëá,0.007995,0.07557,1.4833,1.3663,0.1459,-2.7769,yes,down,C02728,-,-,-,-,-,-,HMDB0002038,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1188-07-4,193.154479119,0.6731,M+CH3OH+H,C7H16N2O2,0,46.1,metab_5465,pos_6351,pos,67330,93060,257200,47790,16110,91090,880800,316700,950500,568400,228700,980100,,,,
PE(PGJ2/20:0),-,0.006045,0.06663,1.4807,1.3242,1.6461,0.7191,yes,up,-,-,-,-,-,-,-,HMDB0261851,"Not Available","Not Available","Not Available",-,848.537047764,7.65663333333,M+Na,C45H80NO10P,0,46.4,metab_2715,pos_3660,pos,16580000,27240000,21850000,23460000,32580000,28410000,15010000,12400000,12330000,12950000,20830000,17680000,,,,
"4'-Hydroxyfenoprofen glucuronide","4 ' -ôÇ»ù·ÒÂå·ÒÆÏÌÑÌÇÈ©ËáÜÕ",0.0104,0.06441,1.4759,1.4687,57.6952,5.8504,yes,up,-,-,-,-,-,-,-,HMDB0060772,Benzenoids,"Benzene and substituted derivatives",Diphenylethers,-,433.113487761,5.94051666667,"M-H, M+Na-2H",C21H22O10,0,56.3,metab_7624,neg_216,neg,442600,293000,684400,70440,427300,857800,29310,1790,8811,4313,1840,2039,,,,
S-Allylcysteine,S-Ï©±û»ù°ëë×°±Ëá,0.005194,0.06257,1.4734,1.3029,0.2606,-1.9401,yes,down,C16759,-,-,-,-,-,-,HMDB0034323,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",21593-77-1,345.092079854,1.7119,2M+Na,C6H11NO2S,0,45.8,metab_5167,pos_6061,pos,61400,29590,177800,1535,9647,64810,261600,94030,297800,321800,152800,194900,,,,
Milrinone,-,0.002199,0.04352,1.4726,1.38,0.724,-0.4659,yes,down,C07224,-,-,-,-,-,-,HMDB0014380,"Organoheterocyclic compounds","Pyridines and derivatives","Bipyridines and oligopyridines",78415-72-2,250.038178888,2.07991666667,M+K,C12H9N3O,0,30.9,metab_5090,pos_5993,pos,200400,250300,167700,197200,209500,212000,335900,254800,245100,299300,259000,314800,,,,
1-Oleoylglycerophosphoserine,"1 -ÓÍõ£¸ÊÓÍÁ×Ëáõ¥",0.004046,0.0394,1.4717,1.3673,2.1668,1.1156,yes,up,-,-,-,-,-,-,-,HMDB0061694,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoserines,-,544.266234323,6.4819,M+Na-2H,C24H46NO9P,0,63,metab_7137,neg_1717,neg,509800,407300,379300,396800,341000,296700,63990,309700,112500,268600,254400,66660,,,,
"N-Methylglutamic acid","N -¼×»ù¹È°±Ëá",0.004628,0.06062,1.4687,1.3006,0.4672,-1.0979,yes,down,C01046,-,-,map01100,"Metabolic pathways",Metabolism,"Global and overview maps",HMDB0062660,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",35989-16-3,184.057752381,0.782666666667,"M+Na, M+2Na-H, M+H",C6H11NO4,35.3,0,metab_984,pos_191,pos,521200,414500,1084000,337500,320800,589800,1432000,916900,1524000,1331000,759900,1029000,,,,
"(4,6-Dimethylpyrimidin-5-yl)-[4-[4-[2-[2-methoxy-4-(trifluoromethyl)phenyl]ethyl]-3-methylpiperazin-1-yl]-4-methylpiperidin-1-yl]methanone","£¨4,6-¶þ¼×»ùà×à¤-5-»ù£©-[4-[4-[2-[2-¼×Ñõ»ù-4-£¨Èý·ú¼×»ù£©±½»ù]ÒÒ»ù]-3-¼×»ùßßàº-1-»ù]-4-¼×»ùßßà¤-1-»ù]¼×Íª",0.008271,0.05763,1.4686,1.3597,1.9615,0.972,yes,up,-,-,-,-,-,-,-,HMDB0257760,Benzenoids,"Benzene and substituted derivatives",Trifluoromethylbenzenes,-,568.265834248,6.44096666667,M+Cl,C28H38F3N5O2,0,31.2,metab_7152,neg_1730,neg,633300,493200,557600,515800,496900,576500,111900,362500,185900,445100,454400,108700,,,,
Taurine,Å£»ÇËá,0.003572,0.03634,1.4636,1.3665,0.6069,-0.7205,yes,down,C00245,-,-,map01100;map00920;map00430;map02010;map00120;map04080,"Metabolic pathways;Sulfur metabolism;Taurine and hypotaurine metabolism;ABC transporters;Primary bile acid biosynthesis;Neuroactive ligand-receptor interaction","Metabolism;Metabolism;Metabolism;Environmental Information Processing;Metabolism;Environmental Information Processing","Global and overview maps;Energy metabolism;Metabolism of other amino acids;Membrane transport;Lipid metabolism;Signaling molecules and interaction",PW_C000171;HMDB0000251;MJDBOTE0000787,"Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives",107-35-7,124.006351744,0.6444,M-H,C2H7NO3S,90.8,0,metab_7953,neg_2476,neg,2493000,5690000,4306000,4112000,4462000,4784000,8479000,5748000,8622000,6684000,5272000,7784000,,,,
Homodolichosterone,¸ßÈý¼âÉ¼õ¥Íª,0.01277,0.08354,1.4631,1.3168,0.0247,-5.3393,yes,down,-,-,-,-,-,-,-,HMDB0034079,"Lipids and lipid-like molecules","Steroids and steroid derivatives","Stigmastanes and derivatives",85797-14-4,521.319269977,3.48473333333,M+2Na-H,C29H48O5,0,54.3,metab_4879,pos_5796,pos,677,371.9,2478,2121,1726,24910,366500,79680,108900,410800,168300,173000,,,,
Loliolide,ºÚÂó²ÝÄÚõ¥,0.006816,0.05294,1.4629,1.3807,0.2451,-2.0286,yes,down,-,-,-,-,-,-,-,HMDB0302428,"Organoheterocyclic compounds",Benzofurans,"Not Available",-,241.107689611,5.87513333333,M+FA-H,C11H16O3,0,39.9,metab_7376,neg_1935,neg,19790,12310,29030,670.4,13530,21500,52150,57840,112400,37120,46550,89060,,,,
Dinoterb,ÌØÀÖ·Ó,0.005831,0.04808,1.4613,1.3754,1.4471,0.5332,yes,up,C18671,-,-,-,-,-,-,-,-,-,-,1420-07-1,239.06683912,6.34248333333,M-H,C10H12N2O5,52.2,0,metab_7178,neg_1755,neg,27980,43310,28440,32090,33880,38800,22310,21810,22010,21010,26420,27720,,,,
"Kainic acid",-,0.005264,0.04572,1.4543,1.369,1.38,0.4647,yes,up,C12819,-,-,-,-,-,-,HMDB0253757,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",487-79-6,194.081460747,6.27278333333,M-H2O-H,C10H15NO4,0,42.6,metab_7196,neg_1771,neg,4979000,6974000,4695000,5579000,6540000,6226000,4449000,3632000,3874000,3917000,4638000,4846000,,,,
"N-Linoleoyl Leucine","N -ÑÇÓÍõ£ÁÁ°±Ëá",0.008532,0.05821,1.4497,1.4358,0.278,-1.8468,yes,down,-,-,-,-,-,-,-,HMDB0241979,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,392.316756692,6.67931666667,M-H,C24H43NO3,0,34.7,metab_7088,neg_1672,neg,245100,87380,283700,203900,189100,142700,335800,956000,804400,1053000,621500,373000,,,,
"(3S,7E,9S)-9-Hydroxy-4,7-megastigmadien-3-one 9-glucoside","£¨3S£¬7E£¬9S£©-9-ôÇ»ù-4,7-¾Þ¶¹¶þÏ©-3-Íª9-ÆÏÌÑÌÇÜÕ",0.005106,0.04498,1.4495,1.386,0.3803,-1.3948,yes,down,-,-,-,-,-,-,-,HMDB0036822,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides",-,415.196975651,6.06311666667,M+FA-H,C19H30O7,0,41,metab_8986,neg_959,neg,328300,198300,351400,78280,174900,225000,618600,388900,659000,597500,371100,930700,,,,
Pectin,¹û½º,0.005976,0.04856,1.4493,1.3917,0.3983,-1.3281,yes,down,C08348,-,-,-,-,-,-,HMDB0242608;HMDB0003402,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",9000-69-5,193.03462403,0.675266666667,M-H,C6H10O7,0,46.1,metab_9044,neg_2368,neg,168300,149800,277900,89910,121000,179000,510100,216800,463600,508700,246300,529400,,,,
"2-Acetamido-2,6-dideoxygalactose","2 -ÒÒõ£°±»ù- 2£¬6 -¶þÍÑÑõ°ëÈéÌÇ",0.0094,0.08259,1.4485,1.3467,0.3965,-1.3346,yes,down,-,-,-,-,-,-,-,HMDB0259683,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",-,188.091464081,2.68931666667,"M+H-H2O, M+K, M+Na",C8H15NO5,0,40.2,metab_5950,pos_68,pos,300300,231300,437600,226600,235100,309500,988600,420900,901600,626600,433700,1018000,,,,
"Tetradecanedioic acid",Ê®ËÄÌ¼¶þÔªËá,0.003508,0.03623,1.4475,1.3693,0.5059,-0.9831,yes,down,C11002,-,-,-,-,-,-,HMDB0000872;LMFA01170018,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",821-38-5,257.175442025,6.0788,M-H,C14H26O4,71,0,metab_8994,neg_966,neg,271800,337700,479800,179800,373400,559700,623900,785000,814500,496500,627400,1005000,,,,
1-Arachidonoylglycerol,"1 -»¨ÉúËÄÏ©õ£¸ÊÓÍ",0.01191,0.08354,1.4466,1.3393,0.0449,-4.4771,yes,down,C13857,-,-,-,-,-,-,LMGL01010032;HMDB0011578;HMDB0243830,"Lipids and lipid-like molecules",Glycerolipids,Monoradylglycerols,124511-15-5,361.27287689,7.70341666667,M+H-H2O,C23H38O4,0,34,metab_2689,pos_3632,pos,21790,7920,20420,7568,7767,8166,483200,75810,181200,290700,155800,451100,,,,
